model_id,iuid,weight
192526,CN_20_202307,0.065000
192527,CN_20_000205,0.269000
192527,CN_20_000711,0.039000
192527,CN_20_001050,0.112000
192527,CN_20_001469,0.026000
192527,CN_20_003358,0.176000
192527,CN_20_003745,0.027000
192527,CN_20_110007,0.091000
192527,CN_20_110022,0.027000
192527,CN_20_110030,0.168000
192527,CN_20_202307,0.065000
192528,CN_20_000205,0.269000
192528,CN_20_000711,0.026000
192528,CN_20_001050,0.112000
192528,CN_20_001469,0.027000
192528,CN_20_003358,0.176000
192528,CN_20_003745,0.027000
192528,CN_20_110007,0.091000
192528,CN_20_110022,0.039000
192528,CN_20_110030,0.168000
192528,CN_20_202307,0.065000
192529,CN_20_000205,0.268000
192529,CN_20_000711,0.026000
192529,CN_20_001050,0.112000
192529,CN_20_001469,0.040000
192529,CN_20_003358,0.176000
192529,CN_20_003745,0.027000
192529,CN_20_110007,0.091000
192529,CN_20_110022,0.027000
192529,CN_20_110030,0.168000
192529,CN_20_202307,0.065000
192530,CN_20_000205,0.269000
192530,CN_20_000711,0.026000
192530,CN_20_001050,0.112000
192530,CN_20_001469,0.027000
192530,CN_20_003358,0.176000
192530,CN_20_003745,0.039000
192530,CN_20_110007,0.091000
192530,CN_20_110022,0.027000
192530,CN_20_110030,0.168000
192530,CN_20_202307,0.065000
192531,CN_20_000205,0.258000
192531,CN_20_000711,0.027000
192531,CN_20_001050,0.118000
192531,CN_20_001469,0.027000
192531,CN_20_003358,0.169000
192531,CN_20_003745,0.036000
192531,CN_20_110007,0.089000
192531,CN_20_110022,0.036000
192531,CN_20_110030,0.176000
192531,CN_20_202307,0.064000
192532,CN_20_000205,0.258000
192532,CN_20_000711,0.043000
192532,CN_20_001050,0.118000
192532,CN_20_001469,0.027000
192532,CN_20_003358,0.169000
192532,CN_20_003745,0.028000
192532,CN_20_110007,0.089000
192532,CN_20_110022,0.028000
192532,CN_20_110030,0.176000
192532,CN_20_202307,0.064000
192533,CN_20_000205,0.258000
192533,CN_20_000711,0.027000
192533,CN_20_001050,0.118000
192533,CN_20_001469,0.027000
192533,CN_20_003358,0.169000
192533,CN_20_003745,0.027000
192533,CN_20_110007,0.089000
192533,CN_20_110022,0.045000
192533,CN_20_110030,0.176000
192533,CN_20_202307,0.064000
192534,CN_20_000205,0.257000
192534,CN_20_000711,0.027000
192534,CN_20_001050,0.118000
192534,CN_20_001469,0.044000
192534,CN_20_003358,0.169000
192534,CN_20_003745,0.028000
192534,CN_20_110007,0.089000
192534,CN_20_110022,0.028000
192534,CN_20_110030,0.176000
192534,CN_20_202307,0.064000
192535,CN_20_000205,0.258000
192535,CN_20_000711,0.027000
192535,CN_20_001050,0.118000
192535,CN_20_001469,0.027000
192535,CN_20_003358,0.169000
192535,CN_20_003745,0.045000
192535,CN_20_110007,0.089000
192535,CN_20_110022,0.027000
192535,CN_20_110030,0.176000
192535,CN_20_202307,0.064000
192536,CN_20_000205,0.248000
192536,CN_20_000711,0.027000
192536,CN_20_001050,0.123000
192536,CN_20_001469,0.027000
192536,CN_20_003358,0.163000
192536,CN_20_003745,0.039000
192536,CN_20_110007,0.086000
192536,CN_20_110022,0.039000
192536,CN_20_110030,0.185000
192536,CN_20_202307,0.063000
192537,CN_20_000205,0.247000
192537,CN_20_000711,0.044000
192537,CN_20_001050,0.123000
192537,CN_20_001469,0.027000
192537,CN_20_003358,0.163000
192537,CN_20_003745,0.031000
192537,CN_20_110007,0.086000
192537,CN_20_110022,0.031000
192537,CN_20_110030,0.185000
192537,CN_20_202307,0.063000
192538,CN_20_000205,0.248000
192538,CN_20_000711,0.027000
192538,CN_20_001050,0.123000
192538,CN_20_001469,0.026000
192538,CN_20_003358,0.163000
192538,CN_20_003745,0.027000
192538,CN_20_110007,0.086000
192538,CN_20_110022,0.052000
192538,CN_20_110030,0.185000
192538,CN_20_202307,0.063000
192539,CN_20_000205,0.249000
192539,CN_20_000711,0.027000
192539,CN_20_001050,0.123000
192539,CN_20_001469,0.044000
192539,CN_20_003358,0.163000
192539,CN_20_003745,0.030000
192539,CN_20_110007,0.086000
192539,CN_20_110022,0.030000
192539,CN_20_110030,0.185000
192539,CN_20_202307,0.063000
192540,CN_20_000205,0.248000
192540,CN_20_000711,0.027000
192540,CN_20_001050,0.123000
192540,CN_20_001469,0.026000
192540,CN_20_003358,0.163000
192540,CN_20_003745,0.052000
192540,CN_20_110007,0.086000
192540,CN_20_110022,0.027000
192540,CN_20_110030,0.185000
192540,CN_20_202307,0.063000
192541,CN_20_000205,0.239000
192541,CN_20_000711,0.027000
192541,CN_20_001050,0.129000
192541,CN_20_001469,0.026000
192541,CN_20_003358,0.156000
192541,CN_20_003745,0.042000
192541,CN_20_110007,0.084000
192541,CN_20_110022,0.042000
192541,CN_20_110030,0.193000
192541,CN_20_202307,0.062000
192542,CN_20_000205,0.239000
192542,CN_20_000711,0.044000
192542,CN_20_001050,0.129000
192542,CN_20_001469,0.027000
192542,CN_20_003358,0.156000
192542,CN_20_003745,0.033000
192542,CN_20_110007,0.084000
192542,CN_20_110022,0.033000
192542,CN_20_110030,0.193000
192542,CN_20_202307,0.062000
192543,CN_20_000205,0.239000
192543,CN_20_000711,0.026000
192543,CN_20_001050,0.129000
192543,CN_20_001469,0.027000
192543,CN_20_003358,0.156000
192543,CN_20_003745,0.029000
192543,CN_20_110007,0.084000
192543,CN_20_110022,0.055000
192543,CN_20_110030,0.193000
192543,CN_20_202307,0.062000
192544,CN_20_000205,0.237000
192544,CN_20_000711,0.027000
192544,CN_20_001050,0.129000
192544,CN_20_001469,0.044000
192544,CN_20_003358,0.156000
192544,CN_20_003745,0.034000
192544,CN_20_110007,0.084000
192544,CN_20_110022,0.034000
192544,CN_20_110030,0.193000
192544,CN_20_202307,0.062000
192545,CN_20_000205,0.239000
192545,CN_20_000711,0.026000
192545,CN_20_001050,0.129000
192545,CN_20_001469,0.027000
192545,CN_20_003358,0.156000
192545,CN_20_003745,0.055000
192545,CN_20_110007,0.084000
192545,CN_20_110022,0.029000
192545,CN_20_110030,0.193000
192545,CN_20_202307,0.062000
192546,CN_20_000205,0.229000
192546,CN_20_000711,0.027000
192546,CN_20_001050,0.134000
192546,CN_20_001469,0.027000
192546,CN_20_003358,0.150000
192546,CN_20_003745,0.045000
192546,CN_20_110007,0.081000
192546,CN_20_110022,0.045000
192546,CN_20_110030,0.202000
192546,CN_20_202307,0.060000
192547,CN_20_000205,0.229000
192547,CN_20_000711,0.045000
