dist_key,dist_type,dist_value,model_id
Basic Materials,300,2.710000,193675
Energy,300,1.680000,193675
Technology,300,21.200000,193675
Real Estate,300,0.580000,193675
Healthcare,300,18.530000,193675
Consumer Defensive,300,5.820000,193675
Industrials,300,7.700000,193675
Consumer Cyclical,300,14.060000,193675
Investment Grade Bond,500,96.840000,193675
High Yield Bond,500,3.160000,193675
Others,200,7.660000,193680
USA,200,39.730000,193680
Singapore,200,1.060000,193680
Hong Kong,200,1.730000,193680
Japan,200,8.020000,193680
Philippines,200,1.070000,193680
Thailand,200,0.880000,193680
Switzerland,200,0.810000,193680
India,200,0.790000,193680
Spain,200,3.390000,193680
Canada,200,2.180000,193680
Netherlands,200,0.440000,193680
South Korea,200,2.480000,193680
China,200,8.670000,193680
UK,200,4.760000,193680
Italy,200,2.390000,193680
Mexico,200,0.380000,193680
France,200,2.420000,193680
Australia,200,2.520000,193680
Germany,200,6.570000,193680
Indonesia,200,2.050000,193680
Communication Services,300,12.190000,193680
Utilities,300,1.430000,193680
Financial Services,300,14.100000,193680
Basic Materials,300,2.710000,193680
Energy,300,1.680000,193680
Technology,300,21.200000,193680
Real Estate,300,0.580000,193680
Healthcare,300,18.530000,193680
Consumer Defensive,300,5.820000,193680
Industrials,300,7.700000,193680
Consumer Cyclical,300,14.060000,193680
Investment Grade Bond,500,96.840000,193680
High Yield Bond,500,3.160000,193680
Others,200,7.660000,193661
USA,200,39.730000,193661
Singapore,200,1.060000,193661
Hong Kong,200,1.730000,193661
Japan,200,8.020000,193661
Philippines,200,1.070000,193661
Thailand,200,0.880000,193661
Switzerland,200,0.810000,193661
India,200,0.790000,193661
Spain,200,3.390000,193661
Canada,200,2.180000,193661
Netherlands,200,0.440000,193661
South Korea,200,2.480000,193661
China,200,8.670000,193661
UK,200,4.760000,193661
Italy,200,2.390000,193661
Mexico,200,0.380000,193661
France,200,2.420000,193661
Australia,200,2.520000,193661
Germany,200,6.570000,193661
Indonesia,200,2.050000,193661
Communication Services,300,12.190000,193661
Utilities,300,1.430000,193661
Financial Services,300,14.100000,193661
Basic Materials,300,2.710000,193661
Energy,300,1.680000,193661
Technology,300,21.200000,193661
Real Estate,300,0.580000,193661
Healthcare,300,18.530000,193661
Consumer Defensive,300,5.820000,193661
Industrials,300,7.700000,193661
Consumer Cyclical,300,14.060000,193661
Investment Grade Bond,500,96.840000,193661
High Yield Bond,500,3.160000,193661
Others,200,7.660000,193666
USA,200,39.730000,193666
Singapore,200,1.060000,193666
Hong Kong,200,1.730000,193666
Japan,200,8.020000,193666
Philippines,200,1.070000,193666
Thailand,200,0.880000,193666
Switzerland,200,0.810000,193666
India,200,0.790000,193666
Spain,200,3.390000,193666
Canada,200,2.180000,193666
Netherlands,200,0.440000,193666
South Korea,200,2.480000,193666
China,200,8.670000,193666
UK,200,4.760000,193666
Italy,200,2.390000,193666
Mexico,200,0.380000,193666
France,200,2.420000,193666
Australia,200,2.520000,193666
Germany,200,6.570000,193666
Indonesia,200,2.050000,193666
Communication Services,300,12.190000,193666
Utilities,300,1.430000,193666
Financial Services,300,14.100000,193666
Basic Materials,300,2.710000,193666
Energy,300,1.680000,193666
Technology,300,21.200000,193666
Real Estate,300,0.580000,193666
Healthcare,300,18.530000,193666
Consumer Defensive,300,5.820000,193666
Industrials,300,7.700000,193666
Consumer Cyclical,300,14.060000,193666
Investment Grade Bond,500,96.840000,193666
High Yield Bond,500,3.160000,193666
Others,200,7.660000,193671
USA,200,39.730000,193671
Singapore,200,1.060000,193671
Hong Kong,200,1.730000,193671
Japan,200,8.020000,193671
Philippines,200,1.070000,193671
Thailand,200,0.880000,193671
Switzerland,200,0.810000,193671
India,200,0.790000,193671
Spain,200,3.390000,193671
Canada,200,2.180000,193671
Netherlands,200,0.440000,193671
South Korea,200,2.480000,193671
China,200,8.670000,193671
UK,200,4.760000,193671
Italy,200,2.390000,193671
Mexico,200,0.380000,193671
France,200,2.420000,193671
Australia,200,2.520000,193671
Germany,200,6.570000,193671
Indonesia,200,2.050000,193671
Communication Services,300,12.190000,193671
Utilities,300,1.430000,193671
Financial Services,300,14.100000,193671
Basic Materials,300,2.710000,193671
Energy,300,1.680000,193671
Technology,300,21.200000,193671
Real Estate,300,0.580000,193671
Healthcare,300,18.530000,193671
Consumer Defensive,300,5.820000,193671
Industrials,300,7.700000,193671
Consumer Cyclical,300,14.060000,193671
Investment Grade Bond,500,96.840000,193671
High Yield Bond,500,3.160000,193671
Others,200,7.660000,193676
USA,200,39.730000,193676
Singapore,200,1.060000,193676
Hong Kong,200,1.730000,193676
Japan,200,8.020000,193676
Philippines,200,1.070000,193676
Thailand,200,0.880000,193676
Switzerland,200,0.810000,193676
India,200,0.790000,193676
Spain,200,3.390000,193676
Canada,200,2.180000,193676
Netherlands,200,0.440000,193676
South Korea,200,2.480000,193676
China,200,8.670000,193676
UK,200,4.760000,193676
Italy,200,2.390000,193676
Mexico,200,0.380000,193676
France,200,2.420000,193676
Australia,200,2.520000,193676
Germany,200,6.570000,193676
Indonesia,200,2.050000,193676
Communication Services,300,12.190000,193676
Utilities,300,1.430000,193676
Financial Services,300,14.100000,193676
Basic Materials,300,2.710000,193676
Energy,300,1.680000,193676
Technology,300,21.200000,193676
Real Estate,300,0.580000,193676
Healthcare,300,18.530000,193676
Consumer Defensive,300,5.820000,193676
Industrials,300,7.700000,193676
Consumer Cyclical,300,14.060000,193676
Investment Grade Bond,500,96.840000,193676
High Yield Bond,500,3.160000,193676
Others,200,7.660000,193681
USA,200,39.730000,193681
Singapore,200,1.060000,193681
Hong Kong,200,1.730000,193681
Japan,200,8.020000,193681
Philippines,200,1.070000,193681
Thailand,200,0.880000,193681
Switzerland,200,0.810000,193681
India,200,0.790000,193681
Spain,200,3.390000,193681
Canada,200,2.180000,193681
Netherlands,200,0.440000,193681
South Korea,200,2.480000,193681
China,200,8.670000,193681
UK,200,4.760000,193681
Italy,200,2.390000,193681
Mexico,200,0.380000,193681
France,200,2.420000,193681
Australia,200,2.520000,193681
Germany,200,6.570000,193681
Indonesia,200,2.050000,193681
Communication Services,300,12.190000,193681
Utilities,300,1.430000,193681
Financial Services,300,14.100000,193681
Basic Materials,300,2.710000,193681
Energy,300,1.680000,193681
Technology,300,21.200000,193681
Real Estate,300,0.580000,193681
Healthcare,300,18.530000,193681
Consumer Defensive,300,5.820000,193681
Industrials,300,7.700000,193681
Consumer Cyclical,300,14.060000,193681
Investment Grade Bond,500,96.840000,193681
High Yield Bond,500,3.160000,193681
Others,200,7.660000,193662
USA,200,39.730000,193662
Singapore,200,1.060000,193662
Hong Kong,200,1.730000,193662
Japan,200,8.020000,193662
Philippines,200,1.070000,193662
Thailand,200,0.880000,193662
Switzerland,200,0.810000,193662
India,200,0.790000,193662
Spain,200,3.390000,193662
Canada,200,2.180000,193662
Netherlands,200,0.440000,193662
South Korea,200,2.480000,193662
China,200,8.670000,193662
UK,200,4.760000,193662
Italy,200,2.390000,193662
Mexico,200,0.380000,193662
France,200,2.420000,193662
Australia,200,2.520000,193662
Germany,200,6.570000,193662
Indonesia,200,2.050000,193662
Communication Services,300,12.190000,193662
Utilities,300,1.430000,193662
Financial Services,300,14.100000,193662
Basic Materials,300,2.710000,193662
Energy,300,1.680000,193662
Technology,300,21.200000,193662
Real Estate,300,0.580000,193662
Healthcare,300,18.530000,193662
Consumer Defensive,300,5.820000,193662
Industrials,300,7.700000,193662
Consumer Cyclical,300,14.060000,193662
Investment Grade Bond,500,96.840000,193662
High Yield Bond,500,3.160000,193662
Others,200,7.660000,193667
USA,200,39.730000,193667
Singapore,200,1.060000,193667
Hong Kong,200,1.730000,193667
Japan,200,8.020000,193667
Philippines,200,1.070000,193667
Thailand,200,0.880000,193667
Switzerland,200,0.810000,193667
India,200,0.790000,193667
Spain,200,3.390000,193667
Canada,200,2.180000,193667
Netherlands,200,0.440000,193667
South Korea,200,2.480000,193667
China,200,8.670000,193667
UK,200,4.760000,193667
Italy,200,2.390000,193667
Mexico,200,0.380000,193667
France,200,2.420000,193667
Australia,200,2.520000,193667
Germany,200,6.570000,193667
Indonesia,200,2.050000,193667
Communication Services,300,12.190000,193667
Utilities,300,1.430000,193667
Financial Services,300,14.100000,193667
Basic Materials,300,2.710000,193667
Energy,300,1.680000,193667
Technology,300,21.200000,193667
Real Estate,300,0.580000,193667
Healthcare,300,18.530000,193667
Consumer Defensive,300,5.820000,193667
Industrials,300,7.700000,193667
Consumer Cyclical,300,14.060000,193667
Investment Grade Bond,500,96.840000,193667
High Yield Bond,500,3.160000,193667
Others,200,7.660000,193672
USA,200,39.730000,193672
Singapore,200,1.060000,193672
Hong Kong,200,1.730000,193672
Japan,200,8.020000,193672
Philippines,200,1.070000,193672
Thailand,200,0.880000,193672
Switzerland,200,0.810000,193672
India,200,0.790000,193672
Spain,200,3.390000,193672
Canada,200,2.180000,193672
Netherlands,200,0.440000,193672
South Korea,200,2.480000,193672
China,200,8.670000,193672
UK,200,4.760000,193672
Italy,200,2.390000,193672
Mexico,200,0.380000,193672
France,200,2.420000,193672
Australia,200,2.520000,193672
Germany,200,6.570000,193672
Indonesia,200,2.050000,193672
Communication Services,300,12.190000,193672
Utilities,300,1.430000,193672
Financial Services,300,14.100000,193672
Basic Materials,300,2.710000,193672
Energy,300,1.680000,193672
Technology,300,21.200000,193672
Real Estate,300,0.580000,193672
Healthcare,300,18.530000,193672
Consumer Defensive,300,5.820000,193672
Industrials,300,7.700000,193672
Consumer Cyclical,300,14.060000,193672
Investment Grade Bond,500,96.840000,193672
High Yield Bond,500,3.160000,193672
Others,200,7.660000,193677
USA,200,39.730000,193677
Singapore,200,1.060000,193677
Hong Kong,200,1.730000,193677
Japan,200,8.020000,193677
Philippines,200,1.070000,193677
Thailand,200,0.880000,193677
Switzerland,200,0.810000,193677
India,200,0.790000,193677
Spain,200,3.390000,193677
Canada,200,2.180000,193677
Netherlands,200,0.440000,193677
South Korea,200,2.480000,193677
China,200,8.670000,193677
UK,200,4.760000,193677
Italy,200,2.390000,193677
Mexico,200,0.380000,193677
France,200,2.420000,193677
Australia,200,2.520000,193677
Germany,200,6.570000,193677
Indonesia,200,2.050000,193677
Communication Services,300,12.190000,193677
Utilities,300,1.430000,193677
Financial Services,300,14.100000,193677
Basic Materials,300,2.710000,193677
Energy,300,1.680000,193677
Technology,300,21.200000,193677
Real Estate,300,0.580000,193677
Healthcare,300,18.530000,193677
Consumer Defensive,300,5.820000,193677
Industrials,300,7.700000,193677
Consumer Cyclical,300,14.060000,193677
Investment Grade Bond,500,96.840000,193677
High Yield Bond,500,3.160000,193677
Others,200,7.660000,193682
USA,200,39.730000,193682
Singapore,200,1.060000,193682
Hong Kong,200,1.730000,193682
Japan,200,8.020000,193682
Philippines,200,1.070000,193682
Thailand,200,0.880000,193682
Switzerland,200,0.810000,193682
India,200,0.790000,193682
Spain,200,3.390000,193682
Canada,200,2.180000,193682
Netherlands,200,0.440000,193682
South Korea,200,2.480000,193682
China,200,8.670000,193682
UK,200,4.760000,193682
Italy,200,2.390000,193682
Mexico,200,0.380000,193682
France,200,2.420000,193682
Australia,200,2.520000,193682
Germany,200,6.570000,193682
Indonesia,200,2.050000,193682
Communication Services,300,12.190000,193682
Utilities,300,1.430000,193682
Financial Services,300,14.100000,193682
Basic Materials,300,2.710000,193682
Energy,300,1.680000,193682
Technology,300,21.200000,193682
Real Estate,300,0.580000,193682
Healthcare,300,18.530000,193682
Consumer Defensive,300,5.820000,193682
Industrials,300,7.700000,193682
