model_id,iuid,weight
2052674,HK_20_F0000147JJ,0.237400
2052674,HK_20_F00000MC3V,0.112300
2052674,HK_20_F0GBR04MRX,0.247400
2052675,HK_20_0P0000VHMZ,0.165800
2052675,HK_20_F0HKG05BUU,0.058500
2052675,HK_20_F0GBR04D2K,0.120100
2052675,HK_20_F0GBR04AGE,0.058500
2052675,HK_20_F0000147JJ,0.237400
2052675,HK_20_F00000MC3V,0.112300
2052675,HK_20_F0GBR04MRX,0.247400
2052676,HK_20_0P0000VHMZ,0.165800
2052676,HK_20_F0HKG05BUU,0.058500
2052676,HK_20_F0GBR04D2K,0.120100
2052676,HK_20_F0GBR04AGE,0.058500
2052676,HK_20_F0000147JJ,0.237400
2052676,HK_20_F00000MC3V,0.112300
2052676,HK_20_F0GBR04MRX,0.247400
2052677,HK_20_0P0000VHMZ,0.159100
2052677,HK_20_F0HKG05BUU,0.030600
2052677,HK_20_F0GBR04D2K,0.115200
2052677,HK_20_F0GBR04AGE,0.094300
2052677,HK_20_F0000147JJ,0.227700
2052677,HK_20_F00000MC3V,0.107700
2052677,HK_20_F0GBR04MRX,0.237300
2052677,HK_20_F00000JP5X,0.028100
2052678,HK_20_0P0000VHMZ,0.159100
2052678,HK_20_F0HKG05BUU,0.028800
2052678,HK_20_F0GBR04D2K,0.115200
2052678,HK_20_F0GBR04AGE,0.074200
2052678,HK_20_F0000147JJ,0.227700
2052678,HK_20_F00000MC3V,0.107700
2052678,HK_20_F0GBR04MRX,0.237300
2052678,HK_20_F0GBR053E5,0.025000
2052678,HK_20_F00000JP5X,0.025000
2052679,HK_20_0P0000VHMZ,0.159100
2052679,HK_20_F0HKG05BUU,0.028800
2052679,HK_20_F0GBR04D2K,0.115200
2052679,HK_20_F0GBR053DP,0.025000
2052679,HK_20_F0GBR04AGE,0.074200
2052679,HK_20_F0000147JJ,0.227700
2052679,HK_20_F00000MC3V,0.107700
2052679,HK_20_F0GBR04MRX,0.237300
2052679,HK_20_F00000JP5X,0.025000
2052680,HK_20_0P0000VHMZ,0.159100
2052680,HK_20_F0HKG05BUU,0.028800
2052680,HK_20_F00000TX82,0.025000
2052680,HK_20_F0GBR04D2K,0.115200
2052680,HK_20_F0GBR04AGE,0.074200
2052680,HK_20_F0000147JJ,0.227700
2052680,HK_20_F00000MC3V,0.107700
2052680,HK_20_F0GBR04MRX,0.237300
2052680,HK_20_F00000JP5X,0.025000
2052681,HK_20_0P0000VHMZ,0.159100
2052681,HK_20_F0HKG05BUU,0.028800
2052681,HK_20_F0GBR04D2K,0.115200
2052681,HK_20_F00000VTAH,0.025000
2052681,HK_20_F0GBR04AGE,0.074200
2052681,HK_20_F0000147JJ,0.227700
2052681,HK_20_F00000MC3V,0.107700
2052681,HK_20_F0GBR04MRX,0.237300
2052681,HK_20_F00000JP5X,0.025000
2052682,HK_20_0P0000VHMZ,0.159100
2052682,HK_20_F0HKG05BUU,0.027500
2052682,HK_20_F0GBR04D2K,0.115200
2052682,HK_20_F0GBR04AGE,0.100500
2052682,HK_20_F0000147JJ,0.227700
2052682,HK_20_F00000MC3V,0.107700
2052682,HK_20_F0GBR04MRX,0.237300
2052682,HK_20_F00000JP5X,0.025000
2052683,HK_20_0P0000VHMZ,0.159100
2052683,HK_20_F0HKG05BUU,0.021800
2052683,HK_20_F0GBR04D2K,0.115200
2052683,HK_20_F0GBR04AGE,0.081200
2052683,HK_20_F0000147JJ,0.227700
2052683,HK_20_F00000MC3V,0.107700
2052683,HK_20_F0GBR04MRX,0.237300
2052683,HK_20_F0GBR053E5,0.025000
2052683,HK_20_F00000JP5X,0.025000
2052684,HK_20_0P0000VHMZ,0.159100
2052684,HK_20_F0HKG05BUU,0.021800
