dist_key,dist_type,dist_value,model_id
Thailand,200,1.390000,2052188
Switzerland,200,0.480000,2052188
India,200,2.230000,2052188
Spain,200,1.090000,2052188
Canada,200,2.110000,2052188
Netherlands,200,0.220000,2052188
South Korea,200,3.310000,2052188
China,200,20.020000,2052188
UK,200,3.130000,2052188
Italy,200,4.150000,2052188
Mexico,200,0.740000,2052188
France,200,3.120000,2052188
Australia,200,2.760000,2052188
Germany,200,3.880000,2052188
Indonesia,200,2.370000,2052188
Financial Services,300,18.350000,2052188
Communication Services,300,12.220000,2052188
Utilities,300,1.070000,2052188
Basic Materials,300,1.850000,2052188
Energy,300,5.260000,2052188
Technology,300,17.940000,2052188
Real Estate,300,0.380000,2052188
Healthcare,300,12.420000,2052188
Consumer Defensive,300,5.710000,2052188
Industrials,300,10.410000,2052188
Consumer Cyclical,300,14.390000,2052188
Investment Grade Bond,500,91.520000,2052188
High Yield Bond,500,8.480000,2052188
USA,200,27.960000,2052189
Others,200,8.050000,2052189
Singapore,200,0.990000,2052189
Hong Kong,200,3.670000,2052189
Japan,200,6.720000,2052189
Philippines,200,1.610000,2052189
Thailand,200,1.390000,2052189
Switzerland,200,0.480000,2052189
India,200,2.230000,2052189
Spain,200,1.090000,2052189
Canada,200,2.110000,2052189
Netherlands,200,0.220000,2052189
South Korea,200,3.310000,2052189
China,200,20.020000,2052189
UK,200,3.130000,2052189
Italy,200,4.150000,2052189
Mexico,200,0.740000,2052189
France,200,3.120000,2052189
Australia,200,2.760000,2052189
Germany,200,3.880000,2052189
Indonesia,200,2.370000,2052189
Financial Services,300,18.350000,2052189
Communication Services,300,12.220000,2052189
Utilities,300,1.070000,2052189
Basic Materials,300,1.850000,2052189
Energy,300,5.260000,2052189
Technology,300,17.940000,2052189
Real Estate,300,0.380000,2052189
Healthcare,300,12.420000,2052189
Consumer Defensive,300,5.710000,2052189
Industrials,300,10.410000,2052189
Consumer Cyclical,300,14.390000,2052189
Investment Grade Bond,500,91.520000,2052189
High Yield Bond,500,8.480000,2052189
USA,200,27.960000,2052190
Others,200,8.050000,2052190
Singapore,200,0.990000,2052190
Hong Kong,200,3.670000,2052190
Japan,200,6.720000,2052190
Philippines,200,1.610000,2052190
Thailand,200,1.390000,2052190
Switzerland,200,0.480000,2052190
India,200,2.230000,2052190
Spain,200,1.090000,2052190
Canada,200,2.110000,2052190
Netherlands,200,0.220000,2052190
South Korea,200,3.310000,2052190
China,200,20.020000,2052190
UK,200,3.130000,2052190
Italy,200,4.150000,2052190
Mexico,200,0.740000,2052190
France,200,3.120000,2052190
Australia,200,2.760000,2052190
Germany,200,3.880000,2052190
Indonesia,200,2.370000,2052190
Financial Services,300,18.350000,2052190
Communication Services,300,12.220000,2052190
Utilities,300,1.070000,2052190
Basic Materials,300,1.850000,2052190
Energy,300,5.260000,2052190
Technology,300,17.940000,2052190
Real Estate,300,0.380000,2052190
Healthcare,300,12.420000,2052190
Consumer Defensive,300,5.710000,2052190
Industrials,300,10.410000,2052190
Consumer Cyclical,300,14.390000,2052190
Investment Grade Bond,500,91.520000,2052190
High Yield Bond,500,8.480000,2052190
USA,200,27.960000,2052191
Others,200,8.050000,2052191
Singapore,200,0.990000,2052191
Hong Kong,200,3.670000,2052191
Japan,200,6.720000,2052191
Philippines,200,1.610000,2052191
Thailand,200,1.390000,2052191
Switzerland,200,0.480000,2052191
India,200,2.230000,2052191
Spain,200,1.090000,2052191
Canada,200,2.110000,2052191
Netherlands,200,0.220000,2052191
South Korea,200,3.310000,2052191
China,200,20.020000,2052191
UK,200,3.130000,2052191
Italy,200,4.150000,2052191
Mexico,200,0.740000,2052191
France,200,3.120000,2052191
Australia,200,2.760000,2052191
Germany,200,3.880000,2052191
Indonesia,200,2.370000,2052191
Financial Services,300,18.350000,2052191
Communication Services,300,12.220000,2052191
Utilities,300,1.070000,2052191
Basic Materials,300,1.850000,2052191
Energy,300,5.260000,2052191
Technology,300,17.940000,2052191
Real Estate,300,0.380000,2052191
Healthcare,300,12.420000,2052191
Consumer Defensive,300,5.710000,2052191
Industrials,300,10.410000,2052191
Consumer Cyclical,300,14.390000,2052191
Investment Grade Bond,500,91.520000,2052191
High Yield Bond,500,8.480000,2052191
USA,200,27.960000,2052192
Others,200,8.050000,2052192
Singapore,200,0.990000,2052192
Hong Kong,200,3.670000,2052192
Japan,200,6.720000,2052192
Philippines,200,1.610000,2052192
Thailand,200,1.390000,2052192
Switzerland,200,0.480000,2052192
India,200,2.230000,2052192
Spain,200,1.090000,2052192
Canada,200,2.110000,2052192
Netherlands,200,0.220000,2052192
South Korea,200,3.310000,2052192
China,200,20.020000,2052192
UK,200,3.130000,2052192
Italy,200,4.150000,2052192
Mexico,200,0.740000,2052192
France,200,3.120000,2052192
Australia,200,2.760000,2052192
Germany,200,3.880000,2052192
Indonesia,200,2.370000,2052192
